text,label,disaster_score,damage_score,literal_score,urgency_score,disaster_raw_output,damage_raw_output,literal_raw_output,urgency_raw_output,mean_score
"Communal violence in Bhainsa, Telangana. ""Stones were pelted on Muslims' houses and some houses and vehicles were set ablaze…",1,0,0,0,0,0,0,0,0,0.0
"Telangana: Section 144 has been imposed in Bhainsa from January 13 to 15, after clash erupted between two groups on January 12. Po…",1,0,0,0,0,0,0,0,0,0.0
Arsonist sets cars ablaze at dealership https://t.co/gOQvyJbpVI,1,0,0,0,0,0,0,0,0,0.0
Arsonist sets cars ablaze at dealership https://t.co/0gL7NUCPlb https://t.co/u1CcBhOWh9,1,0,0,0,0,0,0,0,0,0.0
"""Lord Jesus, your love brings freedom and pardon. Fill me with your Holy Spirit and set my heart ablaze with your l… https://t.co/VlTznnPNi8",0,0,0,0,0,0,0,0,0,0.0
"If this child was Chinese, this tweet would have gone viral. Social media would be ablaze. SNL would have made a racist j…",0,0,0,0,0,0,0,0,0,0.0
"Several houses have been set ablaze in Ngemsibaa village, Oku sub division in the North West Region of Cameroon by… https://t.co/99uHGAzxy2",1,0,0,0,0,0,0,0,0,0.0
Asansol: A BJP office in Salanpur village was set ablaze last night. BJP has alleged that TMC is behind the incident. Police has b…,1,0,0,0,0,0,0,0,0,0.0
"National Security Minister, Kan Dapaah's side chic has set the internet ablaze with her latest powerful video.… https://t.co/rhzOMQVSlj",0,0,0,0,0,0,0,0,0,0.0
This creature who’s soul is no longer clarent but blue ablaze This thing Carrying memories Memories of… https://t.co/tBKSNDrDoX,0,0,0,0,0,0,0,0,0,0.0
Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is reported…,1,0,0,0,0,0,0,0,0,0.0
Social media went bananas after Chuba Hubbard announced Monday evening his plans to return to #okstate. https://t.co/peN…,0,0,0,0,0,0,0,0,0,0.0
Hausa youths set Area Office of Apapa-Iganmu Local Council Development Area ablaze. Okada Riders stormed the LG area office…,1,0,0,0,0,0,0,0,0,0.0
Under #MamataBanerjee political violence &amp; vandalism continues to unabated in West Bengal! office in Asanol was…,1,0,0,0,0,0,0,0,0,0.0
"AMEN! Set the whole system ablaze, man. https://t.co/J08xHDcGbD",0,0,0,0,0,0,0,0,0,0.0
Images showing the havoc caused by the #Cameroon military as they torched houses in #Oku.The shameless military is… https://t.co/gIwZCH533D,1,0,0,0,0,0,0,0,0,0.0
No cows today but our local factory is sadly still ablaze #REDJanuary2020 https://t.co/CMyuKzrcKz,1,0,0,0,0,0,0,0,0,0.0
Rengoku sets my heart ablaze😔❤️🔥 P.s. I missed this style of coloring I do so here it is c: #鬼滅の刃 https://t.co/YrUF9g68s0,0,0,0,0,0,0,0,0,0,0.0
paulzizkaphoto: “Rundle Ablaze” Wishing you all a good evening... https://t.co/d0NlME1HQz https://t.co/hlVlT6qiIp,0,0,0,0,0,0,0,0,0,0.0
French cameroun set houses ablaze in Ndu and roasted two young boys in their homes in #targeted killings in a #GenocideInSou…,1,0,0,0,0,0,0,0,0,0.0
Cameroon's #BIR soldiers on the 05/01/2020 invaded the #SouthernCameroons Village of Kimar - So setting ablaze a total of…,1,0,0,0,0,0,0,0,0,0.0
As fires ablaze throughout the land/as the prophosized apocalypse comes to fruition/not a building standing/as we all come st…,1,0,0,0,0,0,0,0,0,0.0
"#ThankfulTuesday Isaiah 43:2 When you pass through the waters, I will be with you; and when you pass through the r… https://t.co/jEp3L1oU36",0,0,0,0,0,0,0,0,0,0.0
"⠀⠀When you walk through the fire, ⠀⠀you will not be scorched, and the ⠀⠀flames will not set you ablaze. ──── product…",0,0,0,0,0,0,0,0,0,0.0
Originally they were intended to be fired at boarders or the opposing ship's crew from gunners in the ships's riggi… https://t.co/z5vPwuyBCL,1,0,0,0,0,0,0,0,0,0.0
Warm greetings to all on the occasion of #Lohri. As winter passes by may everyone's woes and troubles be set ablaze in t…,0,0,0,0,0,0,0,0,0,0.0
"Another arson in Njikom,Boyo,NWR. The ambazombies yesterday 13/1/2020 set ablaze the Council building. Which country in the wo…",1,0,0,0,0,0,0,0,0,0.0
"Another public market in #Haiti mysteriously set ablaze. The independent merchants, who are overwhelmingly women, become…",1,0,0,0,0,0,0,0,0,0.0
that is kind true sadly,0,0,0,0,0,0,0,0,0,0.0
I swear that jam will set the world ablaze,0,0,0,0,0,0,0,0,0,0.0
"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze. #I…",1,0,0,0,0,0,0,0,0,0.0
"Marivan, Kurdistan Province Monday, Jan 13th, 2020 Protesters set the propaganda banner of #QassemSoleimani ablaze… https://t.co/IVGCYJZlmK",1,0,0,0,0,0,0,0,0,0.0
How can you turn a blind eye to the icident of setting ablaze more than 50 houses of H… https://t.co/UD84oQxg9K,1,0,0,0,0,0,0,0,0,0.0
"This love is so completely crazy. You've been fucking with my dreams, ripped me like your torn up jeans. I don't ev… https://t.co/GCVYW5eZkb",0,0,0,0,0,0,0,0,0,0.0
Terms in A Demon Burning Dark: The Ruined: People who cannot use magic or interact with it without some harm or ac… https://t.co/ZEDawOfuu4,0,0,0,0,0,0,0,0,0,0.0
"📷 Heartfelt appreciation to Prime Minister YAB Tun Dr. wife, YABhg. Tun Dr. Siti Hasmah Mohd Ali fo… https://t.co/YOwUp1BYUP",0,0,0,0,0,0,0,0,0,0.0
"#WATCH Former CM Akhilesh Yadav who went to meet injured of Kannauj accident, at a hospital in Chhibramau asks Emergency Med…",1,0,0,0,0,0,0,0,0,0.0
❤️❤️❤️ he gave us everything... He had a horrible foot infection once so wore one thong… https://t.co/mA9sFl6Shw,0,0,0,0,0,0,0,0,0,0.0
"😁yeah! His new swag is on point 100%, since the accident! Like this is a totally transformed Bob…",0,0,0,0,0,0,0,0,0,0.0
"This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj",0,0,0,0,0,0,0,0,0,0.0
#Preorder #newrelease today! 12 witnesses connected to or investigating #THENUTCRACKERCONSPIRACY have died either in a…,1,0,0,0,0,0,0,0,0,0.0
my back and neck are still fucked up from the accident 😡😡😭😭,0,0,0,0,0,0,0,0,0,0.0
RT! Prince Harry just confirmed that his mother’s (Princess Diana) death was not an accident! https://t.co/1ADe3uZ3eR,1,0,0,0,0,0,0,0,0,0.0
Note to Democrats: It’s not a Muslim ban. Islam is not a race. Soleimani was a terrorist &amp; was exterminated not assas…,0,0,0,0,0,0,0,0,0,0.0
Juwan Johnson/Oregon is one big dude. Looks like a tight end stuck in the receiver group by accident.,0,0,0,0,0,0,0,0,0,0.0
More appearances of the man with the upside-down face. A New Year’s Eve party at an Air Force base in 1943 where a man…,0,0,0,0,0,0,0,0,0,0.0
"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…",1,0,0,0,0,0,0,0,0,0.0
My friend (an army) just lost her father in an accident and her mom right now is still unconscious. Please pray for her mo…,1,0,0,0,0,0,0,0,0,0.0
MLINDO THE VOCALIST IN ANOTHER CAR ACCIDENT https://t.co/BXR9rEgAk6,1,0,0,0,0,0,0,0,0,0.0
"“There are no greater treasures than the highest human qualities such as compassion, courage and hope. Not even tragic accide…",0,0,0,0,0,0,0,0,0,0.0
Please help our friends in - they have had a non fault accident that's resulted in their vehicle being writte…,0,0,0,0,0,0,0,0,0,0.0
When you hurt your younger sibling by “accident” https://t.co/DAMTEoQtZU,0,0,0,0,0,0,0,0,0,0.0
David Cameron’s decision to hold a referendum expressed in the medium of a road traffic accident. https://t.co/XATYHFtXoa,1,0,0,0,0,0,0,0,0,0.0
An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF,1,0,0,0,0,0,0,0,0,0.0
no one has the right to call a baby an accident. jd himself called it a blessing. he used the loveliest word to describe what…,0,0,0,0,0,0,0,0,0,0.0
I actually posted this by accident to twitter but have decided this can stay,0,0,0,0,0,0,0,0,0,0.0
Question: let’s say you are happily married and your husband dies in a tragic accident. You are deveststed but this pussy not…,0,0,0,0,0,0,0,0,0,0.0
The Kampala Metropolitan East has in custody two suspects who allegedly strangled to death a passenger… https://t.co/9v77Vm51vw,1,0,0,0,0,0,0,0,0,0.0
"In completely available public information , the fires were mostly started by humans on purpose or on accident with th…",0,0,0,0,0,0,0,0,0,0.0
During my PhD there was a colleague who went out of her way to bully and cause work discomfort for me. I… https://t.co/G3hivXZo8T,0,0,0,0,0,0,0,0,0,0.0
"The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Ka… https://t.co/e3bBlaVDDA",1,0,0,0,0,0,0,0,0,0.0
"6yr old Bella needs a new home due to an incident that was an accident, she can live with older kids and in the right ho…",0,0,0,0,0,0,0,0,0,0.0
"👀Look at this shit,😠she need her little ass whooped before she hit somebody by accident. #lecheminduroi #bransoncognac #starzge…",0,0,0,0,0,0,0,0,0,0.0
You're not an accident on the earth. You're God's divinely crafted masterpiece. He designed you with a destiny in v… https://t.co/KfC7Tpwuj6,0,0,0,0,0,0,0,0,0,0.0
Iran Says That They Shot Down Ukraine International Flight 172 By Accident. Here is an Picture of that Aircraft in… https://t.co/COdnYq77uZ,1,0,0,0,0,0,0,0,0,0.0
Saw this truck with the container almost falling off this morning. Reported…,1,0,0,0,0,0,0,0,0,0.0
Judge less smile more. It isn’t the oldest profession by accident lol,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/SF2wBVd5me,1,0,0,0,0,0,0,0,0,0.0
3.6 aftershock at 4:05 am. I was asleep and the movement of my bed woke me up. Not so scary but I wish they weren't… https://t.co/LA2mwCLXhf,1,0,0,0,0,0,0,0,0,0.0
"Good Night my friends, As per USGS, the new 5.9 quake in this morning caused the 7-day aftershock forecast to change.…",1,0,0,0,0,0,0,0,0,0.0
Yea it wasnt that long she killed me in like 6 or 7 seconds but not sure would have to… https://t.co/pexyxYJoFM,0,0,0,0,0,0,0,0,0,0.0
Honored to have an essay in #AfterShock Marking the 50th anniversary of Alvin Toffler’s Future Shock Compendium of essays in t…,0,0,0,0,0,0,0,0,0,0.0
TICKETS ON SALE!!!!!!!!!! - Aftershock https://t.co/kQHMzbgmvk #nowplaying #k4hdradio,0,0,0,0,0,0,0,0,0,0.0
Come with us to Aftershock!,0,0,0,0,0,0,0,0,0,0.0
o_O ! I think I felt your aftershock,0,0,0,0,0,0,0,0,0,0.0
A quick comparison of the ongoing 2020 M6.4 Puerto Rico earthquake sequence and the 2003 M6.5 Central California sequenc…,1,0,0,0,0,0,0,0,0,0.0
"Why are Puerto Ricans refusing to go home? Aside from the 5.4 aftershock just now, the ground in southwest Puerto Rico has…",1,0,0,0,0,0,0,0,0,0.0
2010 - Inception. The Social Network. Easy A. Black Swan. Toy Story 3. The Kids are All Right. Aftershock.,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/rrTNTMA8NR,1,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/wW3CdsvDV2,1,0,0,0,0,0,0,0,0,0.0
A other Hard hit https://t.co/x3e2mf6DKo,0,0,0,0,0,0,0,0,0,0.0
"Musharaf verdict was just mild aftershock of extension, one should not worry what comes after extention.",0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/vRAdkSZaLn,1,0,0,0,0,0,0,0,0,0.0
Kumera yellow Aftershock #PH19FOSSIL featured in bankbtn Good Living magazine Photography Stylist shino… https://t.co/V9LJ65ttzR,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/MMxXzwBpaF,1,0,0,0,0,0,0,0,0,0.0
Please pray for #PuertoRico!!!!! https://t.co/uWqP2yNohW,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/lRTLlbB9TV,1,0,0,0,0,0,0,0,0,0.0
И снова о кризисе демографии (Yakov_Z) https://t.co/BlgYuNumDG,0,0,0,0,0,0,0,0,0,0.0
Darkake(7 yeek possessor) was killed by possession aftershock on Ritches Tunnels 2. https://t.co/AZoiZicsDe,1,0,0,0,0,0,0,0,0,0.0
Check out my latest video... SUPERZERO VOL. 1 - CLOSER LOOK https://t.co/T36KGXJdvY A closer look at SUPERZERO VOL. 1 by Am…,0,0,0,0,0,0,0,0,0,0.0
Might be a small aftershock. I didn't feel anything,0,0,0,0,0,0,0,0,0,0.0
"Stay informed, stay engaged with whats going on in #PuertoRico after the #earthquake The USGS’ 30-Day aftershock s… https://t.co/bYIBfpLHYg",0,0,0,0,0,0,0,0,0,0.0
This isnt good. I feel for the people of Puerto Rico https://t.co/gZC7TYroxS,0,0,0,0,0,0,0,0,0,0.0
"Aftershock Vapor 15 Pro Review – Aussie, Aussie, Aussie https://t.co/pWNq3VAr2r #PowerUpAU",0,0,0,0,0,0,0,0,0,0.0
Puerto Rico Worker explains Earthquake aftershock. Pleading to go viral https://t.co/hhfjQNLEt8 via,0,0,0,0,0,0,0,0,0,0.0
this is an unfathomable number. I lived through a large earthquake and we slept under the table for one terrible night…,0,0,0,0,0,0,0,0,0,0.0
nah I need calm down 💀 https://t.co/eOKphShN5R,0,0,0,0,0,0,0,0,0,0.0
thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,0,0,0,0,0,0,0,0,0.0
"If two quakes have about the same magnitude, you cannot say one is the other's preshock or aftershock. Only when one is obv…",0,0,0,0,0,0,0,0,0,0.0
"An M4+~M5+ aftershock happens within 15 days after an M5+~M6+ main shock. If you can predict it, then you can say it is an…",1,0,0,0,0,0,0,0,0,0.0
I don't think Silivri M4.8 is an aftershock of the Silivri M5.7 a few months ago. 😀 Quake professors always say such nonsen…,0,0,0,0,0,0,0,0,0,0.0
I think it’s an aftershock from ’s lyrical beat down. Brent never recovered.,0,0,0,0,0,0,0,0,0,0.0
Apex is all about separating from Monarch. They’re “separation. Well from my theory on how MechaGod… https://t.co/aBzDKqocPv,0,0,0,0,0,0,0,0,0,0.0
thinking about how some1 spat blood at me during Marilyn Manson’s set at aftershock 👁👁,0,0,0,0,0,0,0,0,0,0.0
Or sending my mate Simon to the bar and asking for a Guiness but ending up with a Carlsberg Export and a Mint After…,0,0,0,0,0,0,0,0,0,0.0
#USGS #earthquake experts are in #PuertoRico installing temporary seismometers to help track seismic events including a Jan. 7 ma…,0,0,0,0,0,0,0,0,0,0.0
Puerto Rico hit by another 5.9 magnitude aftershock - KYMA https://t.co/P9Th3vpTak,1,0,0,0,0,0,0,0,0,0.0
"Over the weekend, Puerto Rico was struck by a 5.9 aftershock, causing more damage to homes and schools and leaving thou…",1,0,0,0,0,0,0,0,0,0.0
How could you leave when I gave you my all 💔,0,0,0,0,0,0,0,0,0,0.0
"For the full experience, start with this one, 1st in the series. Food was running low. To save the young, the governor…",0,0,0,0,0,0,0,0,0,0.0
The magnitude 5.9 quake in #PuertoRico this morning caused our 7-day aftershock forecast to change. We now estimate an increased…,1,0,0,0,0,0,0,0,0,0.0
We continue to update our 30-day aftershock forecast scenarios for #PuertoRico. Forecasts are posted in both English https://t.co…,0,0,0,0,0,0,0,0,0,0.0
Another 6.0 aftershock has hit Puerto Rico after last night. People cannot go home if they even have one. They have no po…,1,0,0,0,0,0,0,0,0,0.0
Aftershock comics. We prefer working in partnership with our creators to build out that team from the ground up.,0,0,0,0,0,0,0,0,0,0.0
Did the other earthquake/aftershock mess up the power again?!,0,0,0,0,0,0,0,0,0,0.0
Aftershock forecast for Puerto Rico,0,0,0,0,0,0,0,0,0,0.0
Like Iran shooting an airplane was an accident,1,0,0,0,0,0,0,0,0,0.0
Bing Bong Airplane Accident Remix,0,0,0,0,0,0,0,0,0,0.0
Morgan is surprised to see Shaun back at work already and offers her condolences on his dad. Shaun says the airplan… https://t.co/SXwRBa7hj5,0,0,0,0,0,0,0,0,0,0.0
"That’s a load of rubbish, there was never an imminent threat, Jesus Christ!!!Iran sho… https://t.co/C815DfZF7C",0,0,0,0,0,0,0,0,0,0.0
